"euvd_id","aliases","base_score","epss","exploited_since","date_published","date_updated","description"
"EUVD-2026-66183","GHSA-vqm5-mjxv-776v CVE-2026-55805",5.4,0.13,"","Aug 25, 2026, 10:22:20 PM","Aug 26, 2026, 5:49:10 PM","Improper Neutralization of Input During Web Page Generation (""Cross-site Scripting"") vulnerability in Drupal Drupal core allows Stored XSS. This issue affects Drupal core versions: from 0.0.0 to 10.6.13, from 11.3.0 to 11.3.14, from 11.4.0 to 11.4.4, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*, from 0.0.0 to 11.2.*."
"EUVD-2026-66184","GHSA-pw57-w545-279f CVE-2026-15917",4.7,0.13,"","Aug 25, 2026, 10:22:23 PM","Aug 26, 2026, 2:48:20 PM","Improper Neutralization of Input During Web Page Generation (""Cross-site Scripting"") vulnerability in Drupal Drupal core allows Cross-Site Scripting (XSS). This issue affects Drupal core versions: from 11.3.0 to 11.3.14, from 11.4.0 to 11.4.4, from 0.0.0 to 11.2.*."
"EUVD-2026-66185","GHSA-jw5p-wr38-7rv7 CVE-2026-15916",4.2,0.12,"","Aug 25, 2026, 10:22:27 PM","Aug 26, 2026, 2:48:00 PM","Missing Authorization vulnerability in Drupal Drupal core allows Forceful Browsing. This issue affects Drupal core versions: from 0.0.0 to 10.6.13, from 11.3.0 to 11.3.14, from 11.4.0 to 11.4.4, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*, from 0.0.0 to 11.2.*."
"EUVD-2024-1058","GHSA-297x-j9pm-xjgg CVE-2018-7602",9.8,99.24,"Apr 13, 2022, 12:00:00 AM","Jul 19, 2018, 5:00:00 PM","Aug 13, 2026, 3:55:33 AM","A remote code execution vulnerability exists within multiple subsystems of Drupal 7.x and 8.x. This potentially allows attackers to exploit multiple attack vectors on a Drupal site, which could result in the site being compromised. This vulnerability is related to Drupal core - Highly critical - Remote Code Execution - SA-CORE-2018-002. Both SA-CORE-2018-002 and this vulnerability are being exploited in the wild."
"EUVD-2026-43115","CVE-2026-10769 GHSA-rq79-xhrq-f62x",5.4,0.23,"","Jul 10, 2026, 9:41:49 PM","Jul 14, 2026, 2:34:55 PM","Improper Neutralization of Input During Web Page Generation (""Cross-site Scripting"") vulnerability in Drupal Commerce Core allows Stored XSS. This issue affects Commerce Core versions: from 3.3.0 to 3.3.6."
"EUVD-2026-43081","GHSA-25f6-4hrw-j87c CVE-2026-55803",5.9,0.35,"","Jul 10, 2026, 9:46:38 PM","Jul 13, 2026, 6:24:17 PM","Improperly Controlled Modification of Dynamically-Determined Object Attributes vulnerability in Drupal Drupal core allows Object Injection. This issue affects Drupal core versions: from 0.0.0 to 10.5.12, from 10.6.0 to 10.6.11, from 11.2.0 to 11.2.14, from 11.3.0 to 11.3.12, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*."
"EUVD-2026-43082","CVE-2026-55804 GHSA-x7hc-r9m3-67vr",5.9,0.35,"","Jul 10, 2026, 9:46:39 PM","Jul 13, 2026, 6:23:35 PM","Improperly Controlled Modification of Dynamically-Determined Object Attributes vulnerability in Drupal Drupal core allows Object Injection. This issue affects Drupal core versions: from 0.0.0 to 10.5.12, from 10.6.0 to 10.6.11, from 11.2.0 to 11.2.14, from 11.3.0 to 11.3.12, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*."
"EUVD-2026-43083","CVE-2026-55806 GHSA-vwxh-w8pq-6q99",5.9,0.34,"","Jul 10, 2026, 9:46:39 PM","Jul 13, 2026, 6:22:03 PM","URL Redirection to Untrusted Site ('Open Redirect') vulnerability in Drupal Drupal core allows Content Spoofing. This issue affects Drupal core versions: from 0.0.0 to 10.5.12, from 10.6.0 to 10.6.11, from 11.2.0 to 11.2.14, from 11.3.0 to 11.3.12, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*."
"EUVD-2026-43084","GHSA-qrwq-jwq3-8cc8 CVE-2026-55807",3.1,0.22,"","Jul 10, 2026, 9:46:40 PM","Jul 13, 2026, 6:20:30 PM","Server-Side Request Forgery (SSRF) vulnerability in Drupal Drupal core allows Server Side Request Forgery. This issue affects Drupal core versions: from 0.0.0 to 10.5.12, from 10.6.0 to 10.6.11, from 11.2.0 to 11.2.14, from 11.3.0 to 11.3.12, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*."
"EUVD-2026-43085","GHSA-9wh5-5mcm-hf2j CVE-2026-55808",5.4,0.27,"","Jul 10, 2026, 9:46:43 PM","Jul 13, 2026, 6:18:56 PM","Improper Neutralization of Input During Web Page Generation (""Cross-site Scripting"") vulnerability in Drupal Drupal core allows Cross-Site Scripting (XSS). This issue affects Drupal core versions: from 0.0.0 to 10.5.12, from 10.6.0 to 10.6.11, from 11.2.0 to 11.2.14, from 11.3.0 to 11.3.12, from 0.0.0 to 11.0.*, from 0.0.0 to 11.1.*."
"EUVD-2026-31002","CVE-2026-6367 GHSA-pw6f-3999-xp7g",6.1,0.2,"","May 19, 2026, 10:28:07 PM","Jun 22, 2026, 3:07:43 PM","Improper Neutralization of Input During Web Page Generation (""Cross-site Scripting"") vulnerability in Drupal Drupal core allows Cross-Site Scripting (XSS).  This issue affects Drupal core: from 11.3.0 before 11.3.7."
"EUVD-2026-31153","GHSA-ghwc-95x2-682j CVE-2026-9082",9.8,87.89,"May 22, 2026, 12:00:00 AM","May 20, 2026, 6:20:52 PM","May 23, 2026, 3:55:38 AM","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Drupal Drupal core allows SQL Injection.  This issue affects Drupal core: from 8.9.0 before 10.4.10, from 10.5.0 before 10.5.10, from 10.6.0 before 10.6.9, from 11.0.0 before 11.1.10, from 11.2.0 before 11.2.12, from 11.3.0 before 11.3.10."
